title,property_size,house_type,bedrooms,bathrooms,furnishing,region,region_name,region_parent_name,is_boost,price
Furnished 3bdrm Bungalow in Gudu for sale,700.0,Bungalow,3.0,3.0,furnished,"Abuja (FCT), Gudu",Gudu,Abuja (FCT),enterprise,"₦ 280,000,000"
3bdrm Block of Flats in Jahi By Gilmor for sale,1000.0,Block of Flats,3.0,3.0,unfurnished,"Abuja (FCT), Jahi",Jahi,Abuja (FCT),enterprise,"₦ 620,000,000"
"Furnished 4bdrm Duplex in Residential, Maitama for sale",300.0,Duplex,4.0,4.0,furnished,"Abuja (FCT), Maitama",Maitama,Abuja (FCT),diamond,"₦ 370,000,000"
3bdrm Apartment in Maryland for sale,800.0,Apartment,3.0,3.0,semi-furnished,"Maryland, LSDPC Maryland Estate",LSDPC Maryland Estate,Maryland,enterprise,"₦ 280,000,000"
3bdrm Block of Flats in Brains And Hammers for sale,300.0,Block of Flats,3.0,4.0,unfurnished,"Gwarinpa, Life Camp",Life Camp,Gwarinpa,enterprise,"₦ 60,000,000"
"4bdrm Duplex in Olowora, Magodo Isheri for sale",220.0,Duplex,4.0,4.0,semi-furnished,"Ojodu, Magodo Isheri",Magodo Isheri,Ojodu,enterprise,"₦ 270,000,000"
3bdrm Apartment in Jahi Gilmor for sale,1500.0,Apartment,3.0,4.0,semi-furnished,"Abuja (FCT), Jahi",Jahi,Abuja (FCT),enterprise,"₦ 140,000,000"
"2bdrm Block of Flats in Cpc Community, Dawaki for sale",550.0,Block of Flats,2.0,2.0,semi-furnished,"Gwarinpa, Dawaki",Dawaki,Gwarinpa,enterprise,"₦ 350,000,000"
4bdrm Apartment in Ikeja Gra for sale,412.0,Apartment,4.0,4.0,semi-furnished,"Ikeja, Ikeja GRA",Ikeja GRA,Ikeja,enterprise,"₦ 550,000,000"
"2bdrm Apartment in Yaba, Onike for sale",550.0,Apartment,2.0,2.0,semi-furnished,"Yaba, Onike",Onike,Yaba,enterprise,"₦ 150,000,000"
2bdrm Block of Flats in Egbeda for sale,550.0,Block of Flats,2.0,2.0,semi-furnished,"Alimosho, Egbeda",Egbeda,Alimosho,enterprise,"₦ 220,000,000"
3bdrm Apartment in Lekki Phase 2 for sale,250.0,Apartment,3.0,3.0,semi-furnished,"Lekki, Lekki Phase 2",Lekki Phase 2,Lekki,enterprise,"₦ 130,000,000"
2bdrm Apartment in Alkab Luxury for sale,300.0,Apartment,2.0,3.0,semi-furnished,"Gwarinpa, Life Camp",Life Camp,Gwarinpa,enterprise,"₦ 100,000,000"
4bdrm Duplex in Allen Avenue for sale,225.0,Duplex,4.0,4.0,semi-furnished,"Ikeja, Allen Avenue",Allen Avenue,Ikeja,enterprise,"₦ 420,000,000"
Mini Flat in Sangotedo for sale,150.0,,1.0,1.0,semi-furnished,"Ajah, Sangotedo",Sangotedo,Ajah,enterprise,"₦ 50,000,000"
4bdrm Duplex in Utako for sale,300.0,Duplex,4.0,4.0,unfurnished,"Abuja (FCT), Utako",Utako,Abuja (FCT),diamond,"₦ 450,000,000"
4bdrm Duplex in Ogba for sale,223.0,Duplex,4.0,4.0,semi-furnished,"Ogba, Ifako-Ogba",Ifako-Ogba,Ogba,enterprise,"₦ 230,000,000"
5bdrm Duplex in Oregun for sale,258.0,Duplex,5.0,5.0,semi-furnished,"Ikeja, Oregun",Oregun,Ikeja,enterprise,"₦ 450,000,000"
3bdrm Block of Flats in Secured Estate for sale,419.0,Block of Flats,3.0,3.0,semi-furnished,"Maryland, LSDPC Maryland Estate",LSDPC Maryland Estate,Maryland,enterprise,"₦ 650,000,000"
"4bdrm Duplex in Royal Garden Estate, Off Lekki-Epe Expressway for sale",300.0,Duplex,4.0,4.0,semi-furnished,"Ajah, Off Lekki-Epe Expressway",Off Lekki-Epe Expressway,Ajah,enterprise,"₦ 450,000,000"
"5bdrm Duplex in Bera Estate, Chevron for sale",500.0,Duplex,5.0,6.0,semi-furnished,"Lekki, Chevron",Chevron,Lekki,enterprise,"₦ 430,000,000"
