title,property_size(sqm),house_type,bedrooms,bathrooms,furnishing,region,region_name,region_parent_name,is_boost,price
"Furnished 3bdrm Bungalow in Oreta Estate, Igbogbo for sale",300,Bungalow,3,4,Furnished,"Ikorodu, Igbogbo",Igbogbo,Lagos Mainland,Diamond,14000000.0
"Furnished 2bdrm Bungalow in Ofin Estate, Igbogbo for sale",300,Bungalow,2,3,Furnished,"Ikorodu, Igbogbo",Igbogbo,Lagos Mainland,Diamond,13000000.0
3bdrm Duplex in Karmo for sale,200,Duplex,3,3,Semi-Furnished,"Abuja (FCT), Karmo",Karmo,Abuja (FCT),Diamond,140000000.0
"3bdrm Bungalow in Bluestone 2.0, Iseri for sale",600,Bungalow,3,3,Unfurnished,"Ogun State, Iseri",Iseri,Ogun State,Enterprise,47500000.0
4bdrm Duplex in Lugbe District for sale,500,Duplex,4,4,Unfurnished,"Abuja (FCT), Lugbe District",Lugbe District,Abuja (FCT),Enterprise,230000000.0
2bdrm Apartment in Ikate for sale,1000,Apartment,2,2,Unfurnished,"Lekki, Ikate",Ikate,Lagos Island,Enterprise,220000000.0
5bdrm Duplex in Magodo for sale,350,Duplex,5,5,Unfurnished,"Lagos State, Magodo",Magodo,Lagos Mainland,Enterprise,380000000.0
4bdrm Duplex in Ajah for sale,350,Duplex,4,4,Unfurnished,"Lagos State, Ajah",Ajah,Lagos Island,Enterprise,120000000.0
4bdrm Penthouse in Lekki Phase 1 for sale,500,Penthouse,4,4,Unfurnished,"Lekki, Lekki Phase 1",Lekki Phase 1,Lagos Island,Enterprise,350000000.0
5bdrm Duplex in Lekki Phase 1 for sale,1000,Duplex,5,5,Unfurnished,"Lekki, Lekki Phase 1",Lekki Phase 1,Lagos Island,Enterprise,600000000.0
5bdrm Duplex in Ajah for sale,350,Duplex,5,5,Unfurnished,"Lagos State, Ajah",Ajah,Lagos Island,Enterprise,250000000.0
4bdrm Duplex in Ajah for sale,350,Duplex,4,4,Unfurnished,"Lagos State, Ajah",Ajah,Lagos Island,Enterprise,150000000.0
4bdrm Duplex in Ajah for sale,500,Duplex,4,4,Unfurnished,"Lagos State, Ajah",Ajah,Lagos Island,Enterprise,220000000.0
5bdrm Duplex in Lekki for sale,350,Duplex,5,5,Unfurnished,"Lagos State, Lekki",Lekki,Lagos Island,Enterprise,230000000.0
4bdrm Duplex in Ikota for sale,350,Duplex,4,4,Unfurnished,"Lekki, Ikota",Ikota,Lagos Island,Enterprise,170000000.0
"4bdrm Bungalow in Biala Estate, Iwo Road for sale",1250,Bungalow,4,2,Unfurnished,"Ibadan, Iwo Road",Iwo Road,Oyo State,False,18000000.0
3bdrm Duplex in Kubwa for sale,500,Duplex,3,4,Unfurnished,"Abuja (FCT), Kubwa",Kubwa,Abuja (FCT),Diamond,150000000.0
2bdrm Block of Flats in Kubwa for sale,500,Block of Flats,2,3,Unfurnished,"Abuja (FCT), Kubwa",Kubwa,Abuja (FCT),Diamond,39000000.0
5bdrm Duplex in Lekki Phase 2 for sale,500,Duplex,5,5,Unfurnished,"Lekki, Lekki Phase 2",Lekki Phase 2,Lagos Island,Enterprise,390000000.0
4bdrm Duplex in Chevron for sale,350,Duplex,4,4,Unfurnished,"Lekki, Chevron",Chevron,Lagos Island,Enterprise,320000000.0
Furnished 2bdrm Duplex in Ajah for sale,500,Duplex,2,2,Furnished,"Lagos State, Ajah",Ajah,Lagos Island,Enterprise,120000000.0
5bdrm Duplex in Ajah for sale,350,Duplex,5,5,Unfurnished,"Lagos State, Ajah",Ajah,Lagos Island,Enterprise,260000000.0
2bdrm Block of Flats in Kiami for sale,1000,Block of Flats,2,2,Unfurnished,"Lugbe District, Kiami",Kiami,Abuja (FCT),Enterprise,55000000.0
5bdrm Duplex in Lekki Phase 2 for sale,500,Duplex,5,5,Unfurnished,"Lekki, Lekki Phase 2",Lekki Phase 2,Lagos Island,Enterprise,650000000.0
5bdrm Duplex in Lekki Phase 1 for sale,350,Duplex,5,5,Unfurnished,"Lekki, Lekki Phase 1",Lekki Phase 1,Lagos Island,Enterprise,900000000.0
5bdrm Duplex in Chevron for sale,350,Duplex,5,5,Unfurnished,"Lekki, Chevron",Chevron,Lagos Island,Enterprise,400000000.0
5bdrm Duplex in Lekki for sale,350,Duplex,5,5,Unfurnished,"Lagos State, Lekki",Lekki,Lagos Island,Enterprise,390000000.0
5bdrm Duplex in Lekki for sale,500,Duplex,5,5,Unfurnished,"Lagos State, Lekki",Lekki,Lagos Island,Enterprise,950000000.0
"4bdrm Duplex in Otunla, Bogije for sale",600,Duplex,4,4,Semi-Furnished,"Ibeju, Bogije",Bogije,Lagos Island,Diamond,120000000.0
"3bdrm Block of Flats in 2 Flats, Benin City for sale",466,Block of Flats,3,3,Unfurnished,"Edo State, Benin City",Benin City,Edo State,Diamond,25000000.0
"5bdrm Bungalow in Daylight Property, Benin City for sale",456,Bungalow,5,5,Semi-Furnished,"Edo State, Benin City",Benin City,Edo State,Diamond,17000000.0
5bdrm Duplex in Apo Resettlement for sale,700,Duplex,5,5,Semi-Furnished,"Apo District, Apo Resettlement",Apo Resettlement,Abuja (FCT),Diamond,550000000.0
"4bdrm Penthouse in Emerald Signature, Sangotedo for sale",250,Penthouse,4,4,Unfurnished,"Ajah, Sangotedo",Sangotedo,Lagos Island,Enterprise,300000000.0
2bdrm Apartment in Lekki for sale,1000,Apartment,2,2,Unfurnished,"Lagos State, Lekki",Lekki,Lagos Island,Enterprise,88000000.0
5bdrm Duplex in Ologolo for sale,500,Duplex,5,5,Unfurnished,"Lekki, Ologolo",Ologolo,Lagos Island,Enterprise,290000000.0
5bdrm Duplex in Ajah for sale,500,Duplex,5,5,Unfurnished,"Lagos State, Ajah",Ajah,Lagos Island,Enterprise,320000000.0
5bdrm Duplex in Omole Phase 2 for sale,350,Duplex,5,5,Unfurnished,"Ikeja, Omole Phase 2",Omole Phase 2,Lagos Mainland,Enterprise,470000000.0
3bdrm Apartment in Lekki for sale,600,Apartment,3,3,Unfurnished,"Lagos State, Lekki",Lekki,Lagos Island,Enterprise,65000000.0
3bdrm Apartment in Lekki Phase 1 for sale,1000,Apartment,3,3,Unfurnished,"Lekki, Lekki Phase 1",Lekki Phase 1,Lagos Island,Enterprise,380000000.0
3bdrm Block of Flats in Life Camp for sale,500,Block of Flats,3,4,Unfurnished,"Gwarinpa, Life Camp",Life Camp,Abuja (FCT),Diamond,95000000.0
4bdrm Duplex in Lekki Phase 2 for sale,123,Duplex,4,4,Unfurnished,"Lekki, Lekki Phase 2",Lekki Phase 2,Lagos Island,Diamond,280000000.0
3bdrm Block of Flats in Katampe (Main) for sale,700,Block of Flats,3,4,Unfurnished,"Katampe, Katampe (Main)",Katampe (Main),Abuja (FCT),Diamond,110000000.0
Furnished 4bdrm Bungalow in Igbogbo Estate for sale,600,Bungalow,4,3,Furnished,"Ikorodu, Igbogbo",Igbogbo,Lagos Mainland,Diamond,30000000.0
4bdrm Duplex in Ajah for sale,350,Duplex,4,4,Unfurnished,"Lagos State, Ajah",Ajah,Lagos Island,Enterprise,130000000.0
4bdrm Duplex in Ajah for sale,350,Duplex,4,4,Unfurnished,"Lagos State, Ajah",Ajah,Lagos Island,Enterprise,220000000.0
4bdrm Duplex in Ikota for sale,350,Duplex,4,4,Unfurnished,"Lekki, Ikota",Ikota,Lagos Island,Enterprise,230000000.0
5bdrm Duplex in Lekki Phase 2 for sale,350,Duplex,5,5,Unfurnished,"Lekki, Lekki Phase 2",Lekki Phase 2,Lagos Island,Enterprise,650000000.0
5bdrm Duplex in Lekki Phase 1 for sale,350,Duplex,5,5,Unfurnished,"Lekki, Lekki Phase 1",Lekki Phase 1,Lagos Island,Enterprise,850000000.0
2bdrm Apartment in Ajah for sale,1000,Apartment,2,2,Unfurnished,"Lagos State, Ajah",Ajah,Lagos Island,Enterprise,75000000.0
5bdrm Duplex in Ikate for sale,350,Duplex,5,5,Unfurnished,"Lekki, Ikate",Ikate,Lagos Island,Enterprise,450000000.0
3bdrm Apartment in Victoria Island for sale,1000,Apartment,3,3,Unfurnished,"Lagos State, Victoria Island",Victoria Island,Lagos Island,Enterprise,450000000.0
Furnished 2bdrm Apartment in Lekki Phase 1 for sale,500,Apartment,2,2,Furnished,"Lekki, Lekki Phase 1",Lekki Phase 1,Lagos Island,Enterprise,230000000.0
5bdrm Duplex in Chevron for sale,350,Duplex,5,5,Unfurnished,"Lekki, Chevron",Chevron,Lagos Island,Enterprise,350000000.0
3bdrm Apartment in Ikeja for sale,500,Apartment,3,3,Unfurnished,"Lagos State, Ikeja",Ikeja,Lagos Mainland,Enterprise,190000000.0
5bdrm Duplex in Ologolo for sale,350,Duplex,5,5,Unfurnished,"Lekki, Ologolo",Ologolo,Lagos Island,Enterprise,390000000.0
4bdrm Duplex in Ajah for sale,350,Duplex,4,4,Unfurnished,"Lagos State, Ajah",Ajah,Lagos Island,Enterprise,250000000.0
3bdrm Duplex in Kubwa for sale,500,Duplex,3,4,Unfurnished,"Abuja (FCT), Kubwa",Kubwa,Abuja (FCT),Diamond,96000000.0
3bdrm Duplex in Kubwa for sale,500,Duplex,3,4,Unfurnished,"Abuja (FCT), Kubwa",Kubwa,Abuja (FCT),Diamond,120000000.0
"Furnished 4bdrm Bungalow in Akindana Estate, Igbogbo for sale",600,Bungalow,4,5,Furnished,"Ikorodu, Igbogbo",Igbogbo,Lagos Mainland,Diamond,22000000.0
"3bdrm Block of Flats in Mini Eatate, Wuye for sale",1000,Block of Flats,3,4,Unfurnished,"Abuja (FCT), Wuye",Wuye,Abuja (FCT),Enterprise,150000000.0
5bdrm Duplex in Jahi for sale,500,Duplex,5,5,Unfurnished,"Abuja (FCT), Jahi",Jahi,Abuja (FCT),Enterprise,550000000.0
4bdrm Duplex in Ologolo for sale,350,Duplex,4,4,Unfurnished,"Lekki, Ologolo",Ologolo,Lagos Island,Enterprise,200000000.0
5bdrm Duplex in Ajah for sale,350,Duplex,5,5,Unfurnished,"Lagos State, Ajah",Ajah,Lagos Island,Enterprise,220000000.0
5bdrm Duplex in Lekki Phase 2 for sale,500,Duplex,5,5,Unfurnished,"Lekki, Lekki Phase 2",Lekki Phase 2,Lagos Island,Enterprise,480000000.0
5bdrm Duplex in Lekki for sale,350,Duplex,5,5,Unfurnished,"Lagos State, Lekki",Lekki,Lagos Island,Enterprise,230000000.0
4bdrm Duplex in Agungi for sale,500,Duplex,4,4,Unfurnished,"Lekki, Agungi",Agungi,Lagos Island,Enterprise,190000000.0
4bdrm Duplex in Ajah for sale,350,Duplex,4,4,Unfurnished,"Lagos State, Ajah",Ajah,Lagos Island,Enterprise,150000000.0
3bdrm Apartment in Ipaja Road for sale,1000,Apartment,3,3,Unfurnished,"Ipaja, Ipaja Road",Ipaja Road,Lagos Mainland,Enterprise,81000000.0
5bdrm Duplex in Chevron for sale,350,Duplex,5,5,Unfurnished,"Lekki, Chevron",Chevron,Lagos Island,Enterprise,380000000.0
5bdrm Duplex in Chevron for sale,500,Duplex,5,5,Unfurnished,"Lekki, Chevron",Chevron,Lagos Island,Enterprise,450000000.0
5bdrm Duplex in Lekki Phase 2 for sale,350,Duplex,5,5,Unfurnished,"Lekki, Lekki Phase 2",Lekki Phase 2,Lagos Island,Enterprise,330000000.0
5bdrm Duplex in Lekki Phase 1 for sale,350,Duplex,5,5,Unfurnished,"Lekki, Lekki Phase 1",Lekki Phase 1,Lagos Island,Enterprise,600000000.0
4bdrm Duplex in Kaura for sale,500,Duplex,4,5,Unfurnished,"Abuja (FCT), Kaura",Kaura,Abuja (FCT),Diamond,200000000.0
"Furnished 4bdrm Bungalow in Fashola Estate, Igbogbo for sale",600,Bungalow,4,4,Furnished,"Ikorodu, Igbogbo",Igbogbo,Lagos Mainland,Diamond,50000000.0
4bdrm Duplex in Guzape Main for sale,1000,Duplex,4,4,Unfurnished,"Abuja (FCT), Guzape District",Guzape District,Abuja (FCT),False,350000000.0
4bdrm Duplex in Utako for sale,300,Duplex,4,4,Unfurnished,"Abuja (FCT), Utako",Utako,Abuja (FCT),Diamond,450000000.0
3bdrm Apartment in Lekki Phase 1 for sale,1000,Apartment,3,3,Unfurnished,"Lekki, Lekki Phase 1",Lekki Phase 1,Lagos Island,Enterprise,260000000.0
5bdrm Duplex in Ikota for sale,350,Duplex,5,5,Unfurnished,"Lekki, Ikota",Ikota,Lagos Island,Enterprise,430000000.0
4bdrm House in Lekki Phase 1 for sale,450,Bungalow,4,4,Unfurnished,"Lekki, Lekki Phase 1",Lekki Phase 1,Lagos Island,Enterprise,450000000.0
5bdrm Duplex in Magodo for sale,350,Duplex,5,5,Unfurnished,"Lagos State, Magodo",Magodo,Lagos Mainland,Enterprise,550000000.0
5bdrm Duplex in Osapa london for sale,500,Duplex,5,5,Unfurnished,"Lekki, Osapa london",Osapa london,Lagos Island,Enterprise,300000000.0
5bdrm Duplex in Ikate for sale,350,Duplex,5,5,Unfurnished,"Lekki, Ikate",Ikate,Lagos Island,Enterprise,460000000.0
Furnished 2bdrm Apartment in Jakande for sale,500,Apartment,2,2,Furnished,"Lekki, Jakande",Jakande,Lagos Island,Enterprise,120000000.0
4bdrm Duplex in Ajah for sale,350,Duplex,4,4,Unfurnished,"Lagos State, Ajah",Ajah,Lagos Island,Enterprise,180000000.0
5bdrm Duplex in Chevron for sale,350,Duplex,5,5,Unfurnished,"Lekki, Chevron",Chevron,Lagos Island,Enterprise,390000000.0
5bdrm Duplex in Ikate for sale,500,Duplex,5,5,Unfurnished,"Lekki, Ikate",Ikate,Lagos Island,Enterprise,850000000.0
4bdrm Duplex in Durumi Abuja for sale,500,Duplex,4,5,Unfurnished,"Abuja (FCT), Durumi",Durumi,Abuja (FCT),Diamond,400000000.0
3bdrm Block of Flats in Life Camp for sale,500,Block of Flats,3,4,Unfurnished,"Gwarinpa, Life Camp",Life Camp,Abuja (FCT),Diamond,100000000.0
"4bdrm Duplex in Brains And Hammers, Life Camp for sale",500,Duplex,4,4,Unfurnished,"Gwarinpa, Life Camp",Life Camp,Abuja (FCT),False,95000000.0
5bdrm Duplex in Ikota for sale,350,Duplex,5,5,Unfurnished,"Lekki, Ikota",Ikota,Lagos Island,Enterprise,300000000.0
5bdrm Duplex in Osapa london for sale,500,Duplex,5,5,Unfurnished,"Lekki, Osapa london",Osapa london,Lagos Island,Enterprise,430000000.0
2bdrm Apartment in Ikate for sale,1000,Apartment,2,2,Unfurnished,"Lekki, Ikate",Ikate,Lagos Island,Enterprise,110000000.0
4bdrm Duplex in Ikota for sale,350,Duplex,4,4,Unfurnished,"Lekki, Ikota",Ikota,Lagos Island,Enterprise,115000000.0
5bdrm Duplex in Ikate for sale,350,Duplex,5,5,Unfurnished,"Lekki, Ikate",Ikate,Lagos Island,Enterprise,500000000.0
5bdrm Duplex in Idado for sale,500,Duplex,5,5,Unfurnished,"Lekki, Idado",Idado,Lagos Island,Enterprise,480000000.0
5bdrm Duplex in Lekki for sale,350,Duplex,5,5,Unfurnished,"Lagos State, Lekki",Lekki,Lagos Island,Enterprise,280000000.0
2bdrm Apartment in Victoria Island Extension for sale,1000,Apartment,2,2,Unfurnished,"Victoria Island, Victoria Island Extension",Victoria Island Extension,Lagos Island,Enterprise,500000000.0
4bdrm Duplex in Ikota for sale,350,Duplex,4,4,Unfurnished,"Lekki, Ikota",Ikota,Lagos Island,Enterprise,125000000.0
5bdrm Duplex in Chevron for sale,300,Duplex,5,5,Unfurnished,"Lekki, Chevron",Chevron,Lagos Island,Enterprise,450000000.0
4bdrm Duplex in Off Lekki-Epe Expressway for sale,500,Duplex,4,4,Unfurnished,"Ajah, Off Lekki-Epe Expressway",Off Lekki-Epe Expressway,Lagos Island,Enterprise,140000000.0
5bdrm Duplex in Ajao Estate for sale,500,Duplex,5,5,Unfurnished,"Isolo, Ajao Estate",Ajao Estate,Lagos Mainland,Enterprise,260000000.0
1bdrm Block of Flats in Life Camp for sale,500,Block of Flats,1,2,Unfurnished,"Gwarinpa, Life Camp",Life Camp,Abuja (FCT),Diamond,18000000.0
2bdrm Block of Flats in Life Camp for sale,500,Block of Flats,2,3,Unfurnished,"Gwarinpa, Life Camp",Life Camp,Abuja (FCT),Diamond,80000000.0
"2bdrm Bungalow in Yotomi Estate, Ifo for Sale",300,Bungalow,2,2,Semi-Furnished,"Ogun State, Ifo",Ifo,Ogun State,False,5999999.0
5bdrm Duplex in Osapa london for sale,500,Duplex,5,5,Unfurnished,"Lekki, Osapa london",Osapa london,Lagos Island,Enterprise,700000000.0
5bdrm Duplex in Ikate for sale,350,Duplex,5,5,Unfurnished,"Lekki, Ikate",Ikate,Lagos Island,Enterprise,300000000.0
5bdrm Duplex in Ajah for sale,350,Duplex,5,5,Unfurnished,"Lagos State, Ajah",Ajah,Lagos Island,Enterprise,230000000.0
5bdrm Duplex in Chevron for sale,350,Duplex,5,5,Unfurnished,"Lekki, Chevron",Chevron,Lagos Island,Enterprise,550000000.0
5bdrm Duplex in Ado / Ajah for sale,350,Duplex,5,5,Unfurnished,"Ajah, Ado / Ajah",Ado / Ajah,Lagos Island,Enterprise,190000000.0
4bdrm Duplex in Chevron for sale,300,Duplex,4,4,Unfurnished,"Lekki, Chevron",Chevron,Lagos Island,Enterprise,450000000.0
3bdrm Duplex in Off Lekki-Epe Expressway for sale,500,Duplex,3,3,Unfurnished,"Ajah, Off Lekki-Epe Expressway",Off Lekki-Epe Expressway,Lagos Island,Enterprise,125000000.0
4bdrm Duplex in Lekki for sale,500,Duplex,4,4,Unfurnished,"Lagos State, Lekki",Lekki,Lagos Island,Enterprise,170000000.0
5bdrm Duplex in Ajah for sale,320,Duplex,5,5,Unfurnished,"Lagos State, Ajah",Ajah,Lagos Island,Enterprise,350000000.0
5bdrm Duplex in Ikota for sale,350,Duplex,5,5,Unfurnished,"Lekki, Ikota",Ikota,Lagos Island,Enterprise,350000000.0
5bdrm House in Ikeja for sale,500,Bungalow,5,5,Unfurnished,"Lagos State, Ikeja",Ikeja,Lagos Mainland,Enterprise,500000000.0
5bdrm Duplex in Lekki for sale,500,Duplex,5,5,Unfurnished,"Lagos State, Lekki",Lekki,Lagos Island,Enterprise,650000000.0
5bdrm Duplex in Osapa london for sale,500,Duplex,5,5,Unfurnished,"Lekki, Osapa london",Osapa london,Lagos Island,Enterprise,450000000.0
5bdrm Duplex in Festac for sale,350,Duplex,5,5,Unfurnished,"Amuwo-Odofin, Festac",Festac,Lagos Mainland,Enterprise,270000000.0
5bdrm Duplex in Lekki Phase 1 for sale,350,Duplex,5,5,Unfurnished,"Lekki, Lekki Phase 1",Lekki Phase 1,Lagos Island,Enterprise,600000000.0
3bdrm Block of Flats in Life Camp for sale,700,Block of Flats,3,3,Unfurnished,"Gwarinpa, Life Camp",Life Camp,Abuja (FCT),Diamond,80000000.0
4bdrm Duplex in Life Camp for sale,500,Duplex,4,4,Unfurnished,"Gwarinpa, Life Camp",Life Camp,Abuja (FCT),Diamond,120000000.0
4bdrm Bungalow in Apo District for sale,700,Bungalow,4,5,Unfurnished,"Abuja (FCT), Apo District",Apo District,Abuja (FCT),Diamond,110000000.0
7bdrm Duplex in Apple Junction for sale,800,Duplex,7,8,Semi-Furnished,"Amuwo-Odofin, Apple Junction",Apple Junction,Lagos Mainland,False,570000000.0
"3bdrm Bungalow in Queens Homes, Ogun Waterside for sale",250,Bungalow,3,3,Unfurnished,"Ogun State, Ogun Waterside",Ogun Waterside,Ogun State,Enterprise,60000000.0
"4bdrm Bungalow in Eri Bungalows, Elerangbe for sale",250,Bungalow,4,4,Unfurnished,"Ibeju, Elerangbe",Elerangbe,Lagos Island,Enterprise,85000000.0
4bdrm Duplex in Ajah for sale,350,Duplex,4,4,Unfurnished,"Lagos State, Ajah",Ajah,Lagos Island,Enterprise,160000000.0
5bdrm Duplex in Lekki for sale,350,Duplex,5,5,Unfurnished,"Lagos State, Lekki",Lekki,Lagos Island,Enterprise,480000000.0
5bdrm Duplex in Chevron for sale,350,Duplex,5,5,Unfurnished,"Lekki, Chevron",Chevron,Lagos Island,Enterprise,450000000.0
5bdrm Duplex in Lekki Phase 2 for sale,350,Duplex,5,5,Unfurnished,"Lekki, Lekki Phase 2",Lekki Phase 2,Lagos Island,Enterprise,250000000.0
5bdrm Duplex in Chevron for sale,350,Duplex,5,5,Unfurnished,"Lekki, Chevron",Chevron,Lagos Island,Enterprise,350000000.0
5bdrm Duplex in Lekki for sale,350,Duplex,5,5,Unfurnished,"Lagos State, Lekki",Lekki,Lagos Island,Enterprise,420000000.0
5bdrm Duplex in Chevron for sale,350,Duplex,5,5,Unfurnished,"Lekki, Chevron",Chevron,Lagos Island,Enterprise,690000000.0
5bdrm Duplex in Ikota for sale,350,Duplex,5,5,Unfurnished,"Lekki, Ikota",Ikota,Lagos Island,Enterprise,250000000.0
2bdrm Apartment in Agungi for sale,500,Apartment,2,2,Unfurnished,"Lekki, Agungi",Agungi,Lagos Island,Enterprise,100000000.0
3bdrm Apartment in Ikate for sale,500,Apartment,3,3,Unfurnished,"Lekki, Ikate",Ikate,Lagos Island,Enterprise,170000000.0
5bdrm Duplex in Lekki for sale,500,Duplex,5,5,Unfurnished,"Lagos State, Lekki",Lekki,Lagos Island,Enterprise,420000000.0
5bdrm Duplex in Durumi for sale,1000,Duplex,5,6,Unfurnished,"Abuja (FCT), Durumi",Durumi,Abuja (FCT),Diamond,300000000.0
3bdrm Bungalow in Galadimawa for sale,450,Bungalow,3,3,Semi-Furnished,"Abuja (FCT), Galadimawa",Galadimawa,Abuja (FCT),Diamond,160000000.0
4bdrm Duplex in Jabi for sale,200,Duplex,4,4,Unfurnished,"Abuja (FCT), Jabi",Jabi,Abuja (FCT),Diamond,190000000.0
4bdrm Duplex in Lekki for sale,350,Duplex,4,4,Unfurnished,"Lagos State, Lekki",Lekki,Lagos Island,Enterprise,240000000.0
4bdrm Duplex in Jahi for sale,350,Duplex,4,4,Unfurnished,"Abuja (FCT), Jahi",Jahi,Abuja (FCT),Enterprise,220000000.0
8bdrm Duplex in Ibeju for sale,5000,Duplex,8,8,Unfurnished,"Lagos State, Ibeju",Ibeju,Lagos Island,Enterprise,750000000.0
4bdrm Bungalow in Ibeshe / Ikorodu for sale,600,Bungalow,4,4,Unfurnished,"Ikorodu, Ibeshe / Ikorodu",Ibeshe / Ikorodu,Lagos Mainland,Enterprise,55000000.0
4bdrm Duplex in Chevron for sale,350,Duplex,4,4,Unfurnished,"Lekki, Chevron",Chevron,Lagos Island,Enterprise,220000000.0
4bdrm Duplex in Lekki for sale,500,Duplex,4,4,Unfurnished,"Lagos State, Lekki",Lekki,Lagos Island,Enterprise,280000000.0
4bdrm Duplex in Ajah for sale,350,Duplex,4,4,Unfurnished,"Lagos State, Ajah",Ajah,Lagos Island,Enterprise,140000000.0
4bdrm Duplex in Lekki for sale,350,Duplex,4,4,Unfurnished,"Lagos State, Lekki",Lekki,Lagos Island,Enterprise,210000000.0
5bdrm Duplex in Chevron for sale,350,Duplex,5,5,Unfurnished,"Lekki, Chevron",Chevron,Lagos Island,Enterprise,350000000.0
4bdrm Duplex in Chevron for sale,500,Duplex,4,4,Unfurnished,"Lekki, Chevron",Chevron,Lagos Island,Enterprise,200000000.0
5bdrm Duplex in Ologolo for sale,350,Duplex,5,5,Unfurnished,"Lekki, Ologolo",Ologolo,Lagos Island,Enterprise,600000000.0
"3bdrm Block of Flats in Army Estate, Kubwa for sale",500,Block of Flats,3,4,Unfurnished,"Abuja (FCT), Kubwa",Kubwa,Abuja (FCT),Diamond,85000000.0
"2bdrm Block of Flats in Nigeria Ghana School, Life Camp for sale",700,Block of Flats,2,3,Unfurnished,"Gwarinpa, Life Camp",Life Camp,Abuja (FCT),Diamond,90000000.0
4bdrm Duplex in Life Camp for sale,300,Duplex,4,5,Unfurnished,"Gwarinpa, Life Camp",Life Camp,Abuja (FCT),Diamond,110000000.0
5bdrm Duplex in Lekki Phase 1 for sale,1250,Duplex,5,5,Unfurnished,"Lekki, Lekki Phase 1",Lekki Phase 1,Lagos Island,Diamond,550000000.0
3bdrm Duplex in Kubwa for sale,500,Duplex,3,4,Unfurnished,"Abuja (FCT), Kubwa",Kubwa,Abuja (FCT),Diamond,100000000.0
4bdrm Duplex in Guzape Main for sale,1000,Duplex,4,4,Unfurnished,"Abuja (FCT), Guzape District",Guzape District,Abuja (FCT),False,650000000.0
"Furnished 3bdrm Duplex in Paradise 2 Estate, Katampe (Main) for sale",180,Duplex,3,3,Furnished,"Katampe, Katampe (Main)",Katampe (Main),Abuja (FCT),Diamond,270000000.0
"3bdrm Duplex in Capital Loft, Eleko for sale",300,Duplex,3,3,Unfurnished,"Ibeju, Eleko",Eleko,Lagos Island,Enterprise,109440000.0
3bdrm Bungalow in Ijede / Ikorodu for sale,600,Bungalow,3,3,Unfurnished,"Ikorodu, Ijede / Ikorodu",Ijede / Ikorodu,Lagos Mainland,Enterprise,45000000.0
Furnished 1bdrm Apartment in Thomas Estate for sale,500,Apartment,1,1,Furnished,"Ajah, Thomas Estate",Thomas Estate,Lagos Island,Enterprise,35000000.0
4bdrm Duplex in Ajah for sale,350,Duplex,4,4,Unfurnished,"Lagos State, Ajah",Ajah,Lagos Island,Enterprise,145000000.0
4bdrm Duplex in Surulere for sale,500,Duplex,4,4,Unfurnished,"Lagos State, Surulere",Surulere,Lagos Mainland,Enterprise,300000000.0
4bdrm Duplex in Ikota for sale,500,Duplex,4,4,Unfurnished,"Lekki, Ikota",Ikota,Lagos Island,Enterprise,165000000.0
2bdrm Apartment in Lekki Phase 1 for sale,500,Apartment,2,2,Unfurnished,"Lekki, Lekki Phase 1",Lekki Phase 1,Lagos Island,Enterprise,270000000.0
5bdrm Duplex in Ikota for sale,350,Duplex,5,5,Unfurnished,"Lekki, Ikota",Ikota,Lagos Island,Enterprise,250000000.0
4bdrm Duplex in Ikota for sale,350,Duplex,4,4,Unfurnished,"Lekki, Ikota",Ikota,Lagos Island,Enterprise,170000000.0
5bdrm Duplex in Lekki Phase 1 for sale,350,Duplex,5,5,Unfurnished,"Lekki, Lekki Phase 1",Lekki Phase 1,Lagos Island,Enterprise,850000000.0
5bdrm Duplex in Ajah for sale,350,Duplex,5,5,Unfurnished,"Lagos State, Ajah",Ajah,Lagos Island,Enterprise,180000000.0
4bdrm Duplex in Ikoyi for sale,350,Duplex,4,4,Unfurnished,"Lagos State, Ikoyi",Ikoyi,Lagos Island,Enterprise,850000000.0
Furnished 3bdrm Duplex in Ajah for sale,500,Duplex,3,3,Furnished,"Lagos State, Ajah",Ajah,Lagos Island,Enterprise,110000000.0
5bdrm Duplex in Lekki for sale,350,Duplex,5,5,Unfurnished,"Lagos State, Lekki",Lekki,Lagos Island,Enterprise,300000000.0
2bdrm Duplex in Lekki Phase 2 for sale,100,Duplex,2,2,Unfurnished,"Lekki, Lekki Phase 2",Lekki Phase 2,Lagos Island,Enterprise,120000000.0
5bdrm Duplex in Ajah for sale,350,Duplex,5,5,Unfurnished,"Lagos State, Ajah",Ajah,Lagos Island,Enterprise,260000000.0
2bdrm Apartment in Ikate for sale,1000,Apartment,2,2,Unfurnished,"Lekki, Ikate",Ikate,Lagos Island,Enterprise,160000000.0
3bdrm Block of Flats in Surulere for sale,500,Block of Flats,3,3,Unfurnished,"Lagos State, Surulere",Surulere,Lagos Mainland,Enterprise,350000000.0
2bdrm Apartment in Ikate for sale,500,Apartment,2,2,Unfurnished,"Lekki, Ikate",Ikate,Lagos Island,Enterprise,100000000.0
3bdrm Duplex in Lekki Phase 2 for sale,500,Duplex,3,3,Unfurnished,"Lekki, Lekki Phase 2",Lekki Phase 2,Lagos Island,Enterprise,95000000.0
