title,property_size(sqm),house_type,bedrooms,bathrooms,furnishing,region,region_name,region_parent_name,is_boost,price
2bdrm Block of Flats in Life Camp for sale,700,Block of Flats,2,3,Unfurnished,"Gwarinpa, Life Camp",Life Camp,Abuja (FCT),Diamond,60000000.0
2bdrm Apartment in Lekki Phase 1 for sale,123,Apartment,2,3,Unfurnished,"Lekki, Lekki Phase 1",Lekki Phase 1,Lagos Island,Diamond,330000000.0
2bdrm Block of Flats in Idu for sale,500,Block of Flats,2,3,Unfurnished,"Jiwa, Idu",Idu,Abuja (FCT),Diamond,75000000.0
Furnished 5bdrm Duplex in Guzape District for sale,500,Duplex,5,6,Furnished,"Abuja (FCT), Guzape District",Guzape District,Abuja (FCT),Diamond,600000000.0
"Furnished 2bdrm Apartment in Palm City, Lekki Phase 1 for sale",300,Apartment,2,2,Furnished,"Lekki, Lekki Phase 1",Lekki Phase 1,Lagos Island,Vip_Gold,250000000.0
5bdrm Duplex in Osapa london for sale,250,Duplex,5,5,Unfurnished,"Lekki, Osapa london",Osapa london,Lagos Island,Enterprise,600000000.0
4bdrm Duplex in Lekki for sale,350,Duplex,4,4,Unfurnished,"Lagos State, Lekki",Lekki,Lagos Island,Enterprise,170000000.0
2bdrm Apartment in Victoria Island for sale,500,Apartment,2,2,Unfurnished,"Lagos State, Victoria Island",Victoria Island,Lagos Island,Enterprise,185000000.0
"4bdrm Duplex in Payment Plans, Guzape District for sale",350,Duplex,4,5,Unfurnished,"Abuja (FCT), Guzape District",Guzape District,Abuja (FCT),Enterprise,280000000.0
5bdrm Duplex in Lekki for sale,350,Duplex,5,5,Unfurnished,"Lagos State, Lekki",Lekki,Lagos Island,Enterprise,400000000.0
2bdrm Apartment in Ikate for sale,1000,Apartment,2,2,Unfurnished,"Lekki, Ikate",Ikate,Lagos Island,Enterprise,160000000.0
Furnished 4bdrm Maisonette in Ikate for sale,500,Maisonette,4,4,Furnished,"Lekki, Ikate",Ikate,Lagos Island,Enterprise,320000000.0
4bdrm Duplex in Lekki Phase 1 for sale,500,Duplex,4,4,Unfurnished,"Lekki, Lekki Phase 1",Lekki Phase 1,Lagos Island,Enterprise,385000000.0
3bdrm Duplex in Off Lekki-Epe Expressway for sale,350,Duplex,3,3,Unfurnished,"Ajah, Off Lekki-Epe Expressway",Off Lekki-Epe Expressway,Lagos Island,Enterprise,110000000.0
